Influencer_ID,Name,Platform,Followers,Engagement_Rate,Avg_Likes,Avg_Comments,Posts_Per_Month,Category,Location,Collab_Cost,Audience_Age,Audience_Gender,Growth_Rate,Video_Views
INF0001,Forum383,YouTube,52395,10.44,4574,309,19,Lifestyle,Jaipur,23947,13-17,Female,9.26,149325
INF0002,Aradhana51,YouTube,17372,6.4,886,106,16,Travel,Vijayawada,15499,35-44,Mixed,5.98,28083
INF0003,Damini470,Instagram,85914,6.0,3723,278,11,Fitness,Pune,77082,25-34,Female,3.93,253500
INF0004,Balvan267,Instagram,22815,9.63,1548,295,11,Lifestyle,Ahmedabad,13748,25-34,Male,5.76,19027
INF0005,Utkarsh123,Instagram,36178,6.93,2349,204,29,Beauty,Chennai,12374,35-44,Female,9.23,85970
INF0006,Reyansh24,Instagram,23531,5.34,961,377,16,Education,Ahmedabad,16070,18-24,Female,4.48,56692
INF0007,Zaitra501,Instagram,59990,2.9,1486,164,14,Food,Kolkata,41447,25-34,Mixed,0.95,63199
INF0008,Kashvi274,Instagram,9525,7.21,611,288,10,Finance,Bengaluru,5784,18-24,Mixed,9.09,24079
INF0009,Darsh932,Instagram,87090,2.17,1662,431,20,Fitness,Jaipur,41423,35-44,Mixed,1.48,136026
INF0010,Charita913,Instagram,85369,3.23,2716,456,30,Tech,Hyderabad,82821,25-34,Mixed,7.72,189878
INF0011,Aachal294,YouTube,34349,6.81,1655,76,8,Food,Bengaluru,38125,18-24,Male,3.88,101139
INF0012,Parth707,Instagram,89339,7.75,5442,122,13,Lifestyle,Ahmedabad,92487,35-44,Male,2.87,230425
INF0013,Darsh211,YouTube,75699,3.24,2324,27,4,Gaming,Pune,85119,13-17,Mixed,4.02,145775
INF0014,Anthony791,Instagram,30896,8.74,2261,210,27,Travel,Delhi,18893,25-34,Female,3.32,84204
INF0015,Tara989,YouTube,77128,10.65,7347,495,12,Food,Vijayawada,65136,13-17,Male,8.74,227375
INF0016,Shravya94,YouTube,84091,8.19,6613,87,11,Food,Delhi,71674,13-17,Mixed,9.7,108567
INF0017,Wahab709,YouTube,21345,10.66,1936,275,28,Gaming,Ahmedabad,19024,13-17,Female,4.56,58290
INF0018,Andrew188,Instagram,29950,10.11,2754,331,10,Beauty,Vijayawada,25022,25-34,Mixed,1.17,35218
INF0019,Garima167,Instagram,58360,7.57,4095,361,11,Lifestyle,Vijayawada,57761,18-24,Female,3.27,157936
INF0020,Girik347,YouTube,91152,11.36,8829,388,11,Food,Hyderabad,54635,18-24,Male,3.92,174679
INF0021,Mitali74,Instagram,79409,9.71,6398,348,5,Food,Vijayawada,40449,25-34,Mixed,2.64,77427
INF0022,Wazir47,Instagram,99517,6.5,4551,166,22,Finance,Pune,82179,25-34,Female,9.12,94713
INF0023,Omkaar649,YouTube,65839,6.39,3619,301,5,Travel,Jaipur,46316,13-17,Female,6.92,90050
INF0024,Jackson205,Instagram,38594,8.87,3215,398,25,Beauty,Chennai,38989,13-17,Male,4.54,79441
INF0025,Lucky373,YouTube,69404,3.49,1997,416,29,Gaming,Pune,47995,13-17,Male,9.66,192381
INF0026,Yashasvi281,Instagram,37924,6.48,2273,370,28,Beauty,Jaipur,17482,18-24,Female,2.03,44375
INF0027,Laban266,Instagram,85679,6.87,5297,118,29,Fitness,Chennai,89077,25-34,Male,6.52,206910
INF0028,Krishna690,YouTube,56513,8.63,3966,345,19,Food,Pune,37560,18-24,Male,2.27,59130
INF0029,Kavya965,Instagram,9579,4.07,344,67,7,Food,Mumbai,8665,13-17,Female,2.56,16564
INF0030,Caleb347,Instagram,10936,11.36,1198,409,4,Food,Bengaluru,6935,13-17,Male,1.95,24409
INF0031,Siya697,Instagram,55293,3.57,1454,104,27,Beauty,Hyderabad,29917,25-34,Mixed,9.42,132222
INF0032,Mason557,Instagram,12948,4.59,424,364,12,Travel,Ahmedabad,9045,13-17,Female,2.97,12315
INF0033,Akshay221,YouTube,78239,9.64,7507,85,16,Tech,Mumbai,80643,18-24,Male,5.56,154834
INF0034,Jagdish230,Instagram,49836,9.68,3825,166,11,Tech,Bengaluru,43305,25-34,Mixed,1.94,71904
INF0035,Samuel496,YouTube,87826,10.72,9360,137,14,Gaming,Mumbai,48305,35-44,Mixed,2.32,116698
INF0036,Omaja995,Instagram,97054,10.02,9256,91,6,Food,Bengaluru,29673,35-44,Female,3.52,180949
INF0037,Yatin651,Instagram,35436,9.46,2584,472,29,Gaming,Chennai,35131,25-34,Male,8.4,67247
INF0038,Amaira478,YouTube,75111,9.33,6591,374,21,Tech,Delhi,41274,35-44,Female,1.79,222624
INF0039,Harita560,YouTube,60455,9.63,5453,190,20,Food,Vijayawada,41580,18-24,Mixed,6.21,161013
INF0040,Gaurangi309,YouTube,32576,2.03,645,40,21,Gaming,Bengaluru,12783,18-24,Female,6.1,89297
INF0041,Varsha460,Instagram,40161,6.84,2674,360,6,Gaming,Kolkata,46299,25-34,Male,8.13,45843
INF0042,Kashish891,Instagram,60534,7.87,3634,281,22,Travel,Pune,47544,35-44,Female,5.1,114627
INF0043,Kritika881,Instagram,63962,9.1,4125,471,22,Fashion,Chennai,19638,35-44,Male,6.36,165109
INF0044,Jhalak520,YouTube,45026,8.13,2978,248,28,Tech,Delhi,18917,18-24,Male,6.11,131096
INF0045,Nidra751,Instagram,68641,5.59,3131,257,8,Education,Pune,76596,25-34,Mixed,9.53,186858
INF0046,Aarini511,YouTube,75113,3.73,1978,44,6,Fitness,Vijayawada,83313,25-34,Female,5.17,203396
INF0047,Vamakshi813,Instagram,78618,6.79,4328,126,19,Fashion,Delhi,44723,18-24,Female,2.07,84597
INF0048,Mitesh678,Instagram,32116,8.12,2176,108,6,Travel,Bengaluru,21690,18-24,Male,4.8,36866
INF0049,Shravya790,YouTube,18319,8.37,1154,152,18,Tech,Bengaluru,8178,13-17,Male,7.71,19368
INF0050,Balhaar275,Instagram,83333,8.9,6580,390,29,Travel,Vijayawada,54049,13-17,Mixed,4.24,71006
INF0051,Arjun687,YouTube,57596,2.39,1222,269,23,Tech,Kolkata,52798,35-44,Male,2.4,110643
INF0052,Chaman460,YouTube,13056,7.72,986,20,25,Lifestyle,Delhi,9655,13-17,Female,4.5,23716
INF0053,Mason371,Instagram,91349,3.87,3330,483,18,Fitness,Kolkata,70330,35-44,Female,5.62,215942
INF0054,Mekhala920,Instagram,12597,7.89,903,308,8,Beauty,Delhi,7692,25-34,Female,2.78,19028
INF0055,Zayan827,Instagram,54121,6.91,2806,445,28,Travel,Kolkata,37460,25-34,Male,4.83,46181
INF0056,Hemang785,YouTube,62268,5.55,2722,358,5,Food,Vijayawada,43514,18-24,Female,7.61,123990
INF0057,Zashil606,YouTube,61654,2.96,1796,179,12,Travel,Vijayawada,45085,35-44,Mixed,5.5,113632
INF0058,Hemal57,YouTube,21646,8.06,1276,448,12,Travel,Vijayawada,10176,18-24,Mixed,9.47,28289
INF0059,Jacob437,Instagram,14926,4.72,629,231,25,Travel,Delhi,10241,25-34,Mixed,3.06,20723
INF0060,Madhavi14,Instagram,50860,5.87,2658,216,12,Beauty,Delhi,17349,25-34,Female,3.26,83372
INF0061,Benjamin770,YouTube,9385,3.2,246,111,14,Gaming,Jaipur,5922,25-34,Mixed,5.25,27867
INF0062,Ranveer500,Instagram,84371,9.36,7128,69,18,Education,Pune,77370,18-24,Female,1.09,181481
INF0063,Hemal731,Instagram,9103,10.13,657,242,24,Finance,Jaipur,9246,35-44,Mixed,0.51,17148
INF0064,Pooja90,Instagram,61676,3.08,1861,431,5,Fitness,Bengaluru,27238,35-44,Female,6.52,102532
INF0065,Indali568,Instagram,29542,9.39,2455,140,20,Gaming,Ahmedabad,9156,18-24,Mixed,6.12,54365
INF0066,Dhriti325,YouTube,23516,9.84,2201,237,29,Food,Bengaluru,7436,13-17,Female,3.94,63386
INF0067,Aryan290,Instagram,46073,10.73,4375,336,17,Tech,Vijayawada,17803,35-44,Male,2.31,51208
INF0068,Benjamin604,YouTube,47536,5.04,2024,335,20,Travel,Ahmedabad,32470,25-34,Mixed,1.33,115165
INF0069,Ishwar807,Instagram,72919,7.31,4267,43,14,Travel,Bengaluru,24217,25-34,Female,6.07,132702
INF0070,Siya468,Instagram,42385,2.36,763,398,12,Education,Pune,23605,13-17,Male,5.12,122079
